"discipline","focal_game","next_game","model","model_description","odds_ratio","estimate","standard_error","z_value","p_value","term"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",1.02552859083218,0.0252081780365182,0.0087667592290878,2.87542721064796,0.00403481164561497,"final_score_diff"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",0.370131428417307,-0.993897124478024,0.451376217445871,-2.20192621158028,0.0276705211258928,"roundQualification quarter final"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",0.691802150721357,-0.368455273606542,0.391178062653223,-0.941911903513813,0.346237745257061,"roundQualification round of 16"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",0.799755287553186,-0.223449488666787,0.476611336887778,-0.468829571125791,0.639191461088004,"roundQualification round of 32"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",0.606864127136997,-0.499450356246173,0.390226462302929,-1.27989873700173,0.200580751893045,"roundQuarter final"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",764158.026634293,13.5465298879043,329.725858239516,0.0410842205710903,0.96722875414258,"roundRound 1"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",0.746943179739116,-0.291766161348649,1.69979083916716,-0.171648272614297,0.86371405456405,"roundRound 2"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",0.782914264209494,-0.244732085526117,1.74616516459219,-0.140154030379636,0.88853829176161,"roundRound 3"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",0.455691612129659,-0.785938987443786,0.368220706500159,-2.13442365833776,0.0328081166711683,"roundRound of 16"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",0.616836102569287,-0.483151926394578,0.356207627112847,-1.35637726320081,0.174979163707405,"roundRound of 32"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",0.531494810065024,-0.632061845942025,0.411113819234075,-1.53743760576958,0.124186183312398,"roundRound of 64"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",0.72088962519448,-0.327269239137945,0.410266237934619,-0.797699661530763,0.425044800323937,"roundSemi final"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",1.64862531099303,0.499941795801717,1.21943927625101,0.409976786493801,0.681822976202469,"tournament_typeHSBC BWF World Tour Finals"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",1.17526955620743,0.161497530824013,0.233743926306598,0.690916480166332,0.489618028866871,"tournament_typeHSBC BWF World Tour Super 1000"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",1.22270935900082,0.201069182510856,0.161582060440502,1.24437813184648,0.213360427416267,"tournament_typeHSBC BWF World Tour Super 300"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",1.32952853492327,0.284824394368894,0.177294815096617,1.60650154497569,0.108163755758792,"tournament_typeHSBC BWF World Tour Super 500"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",1.13753489914862,0.128863551942542,0.228381829363724,0.564246079916071,0.572586671627888,"tournament_typeHSBC BWF World Tour Super 750"
"MS",2,3,"controls_only","Controls only",1.43139063733663,0.358646445387616,0.356277487911156,1.00664919215174,0.314103386050041,"(Intercept)"
"MS",2,3,"controls_only","Controls only",1.27250424434349,0.240986804873904,0.0414178832216608,5.81842397845848,5.94050661255217e-09,"elo_difference_100"
"MS",2,3,"controls_only","Controls only",0.396711201010451,-0.924546716391721,0.448246071262297,-2.06258743950197,0.0391518421294691,"roundQualification quarter final"
"MS",2,3,"controls_only","Controls only",0.715123027633121,-0.335300684470143,0.389466792707313,-0.860922396334118,0.389280785670897,"roundQualification round of 16"
"MS",2,3,"controls_only","Controls only",0.82623222786686,-0.19087939743715,0.474607178995538,-0.402183965782248,0.687548641698807,"roundQualification round of 32"
"MS",2,3,"controls_only","Controls only",0.622810355272213,-0.473513212198072,0.388620704336247,-1.21844566415168,0.223054661135211,"roundQuarter final"
"MS",2,3,"controls_only","Controls only",665066.447446106,13.4076422356178,330.603246510469,0.0405550834032515,0.967650592924823,"roundRound 1"
"MS",2,3,"controls_only","Controls only",0.751474032524576,-0.285718624578299,1.67274175076414,-0.170808568894617,0.864374291092826,"roundRound 2"
"MS",2,3,"controls_only","Controls only",0.778349371584839,-0.250579791868962,1.72803333095486,-0.145008656592578,0.88470403706199,"roundRound 3"
"MS",2,3,"controls_only","Controls only",0.471129538636149,-0.752622193827764,0.366465740746104,-2.05373138644684,0.0400016970072771,"roundRound of 16"
"MS",2,3,"controls_only","Controls only",0.628622449301464,-0.464224442081913,0.354608996192179,-1.30911637061325,0.190494934727158,"roundRound of 32"
"MS",2,3,"controls_only","Controls only",0.561797418755973,-0.576613958918539,0.408729874149364,-1.41074581376898,0.158319577020546,"roundRound of 64"
"MS",2,3,"controls_only","Controls only",0.694419457267809,-0.364679095769615,0.40808217167061,-0.893641332765626,0.371513824087912,"roundSemi final"
"MS",2,3,"controls_only","Controls only",1.83949486618777,0.609491004685068,1.19819440680507,0.508674553330831,0.610980361853067,"tournament_typeHSBC BWF World Tour Finals"
"MS",2,3,"controls_only","Controls only",1.22098485093033,0.199657787951133,0.23191340283993,0.860915261930505,0.389284715306476,"tournament_typeHSBC BWF World Tour Super 1000"
"MS",2,3,"controls_only","Controls only",1.23362767539273,0.209959158232161,0.160701483043046,1.30651661861714,0.19137693131643,"tournament_typeHSBC BWF World Tour Super 300"
"MS",2,3,"controls_only","Controls only",1.35710235979644,0.305351808955967,0.176262663804298,1.73236806006174,0.0832080510491194,"tournament_typeHSBC BWF World Tour Super 500"
"MS",2,3,"controls_only","Controls only",1.16618353908836,0.153736484707463,0.227089364411224,0.67698672329308,0.498414378155974,"tournament_typeHSBC BWF World Tour Super 750"
"MS",2,3,"final_score_diff","Controls + final score differential",1.4629818776962,0.380476734877328,0.35695967932771,1.06588154604439,0.286477192030096,"(Intercept)"
"MS",2,3,"final_score_diff","Controls + final score differential",1.26577758867167,0.235686627934255,0.0416891482768094,5.65342871409443,1.57278358209365e-08,"elo_difference_100"
"MS",2,3,"final_score_diff","Controls + final score differential",1.02904181012459,0.028628087828785,0.00845719828499601,3.38505576717698,0.000711637949348191,"final_score_diff"
"MS",2,3,"final_score_diff","Controls + final score differential",0.379173380690548,-0.969761709666183,0.449937277616449,-2.15532643750594,0.0311362983790748,"roundQualification quarter final"
"MS",2,3,"final_score_diff","Controls + final score differential",0.705358679621818,-0.349048840126096,0.390049539583231,-0.894883353788999,0.370849446094587,"roundQualification round of 16"
"MS",2,3,"final_score_diff","Controls + final score differential",0.810352630551492,-0.210285779691519,0.475850623475865,-0.441915528355264,0.658550333389197,"roundQualification round of 32"
"MS",2,3,"final_score_diff","Controls + final score differential",0.614137317502247,-0.48753673169915,0.389267667465265,-1.25244599653952,0.210407394733748,"roundQuarter final"
"MS",2,3,"final_score_diff","Controls + final score differential",741671.922314937,13.5166622711566,329.628581842999,0.0410057349868845,0.967291323850956,"roundRound 1"
"MS",2,3,"final_score_diff","Controls + final score differential",0.742333382622843,-0.297956833994799,1.69824727244754,-0.175449617278278,0.860726356214129,"roundRound 2"
"MS",2,3,"final_score_diff","Controls + final score differential",0.84391007992895,-0.169709330430551,1.74546390325925,-0.0972287826254431,0.922544711095924,"roundRound 3"
"MS",2,3,"final_score_diff","Controls + final score differential",0.466898913674196,-0.761642503685622,0.366914873638563,-2.07580165974927,0.0379122988092677,"roundRound of 16"
"MS",2,3,"final_score_diff","Controls + final score differential",0.631375409340588,-0.459854649862176,0.354935940247974,-1.29559900172663,0.195113673239315,"roundRound of 32"
"MS",2,3,"final_score_diff","Controls + final score differential",0.543605819340754,-0.609530891573424,0.409901135874434,-1.48701927910769,0.137009719144812,"roundRound of 64"
"MS",2,3,"final_score_diff","Controls + final score differential",0.728398879864701,-0.316906468932309,0.409408186242684,-0.77405992254502,0.43889535624849,"roundSemi final"
"MS",2,3,"final_score_diff","Controls + final score differential",1.66919842949824,0.512343528863884,1.2166304574468,0.42111680315737,0.67366979216493,"tournament_typeHSBC BWF World Tour Finals"
"MS",2,3,"final_score_diff","Controls + final score differential",1.15628760802534,0.145214535175293,0.233646945347468,0.621512662874051,0.534262365456754,"tournament_typeHSBC BWF World Tour Super 1000"
"MS",2,3,"final_score_diff","Controls + final score differential",1.22270383577075,0.201064665294638,0.161445829850106,1.24540017838377,0.212984687770432,"tournament_typeHSBC BWF World Tour Super 300"
